"Language Code","ID","Title","Link","Price","Currency","Image link","Description","Additional image link","Google product category","Availability date","Product type","Product Code","Product Code type","Condition","Age group","Color","Gender","Pattern","Size","Size type","Size System","Ratings","IsTargetForDelete"
"en","101","Classic T-Shirt","https://example.com/product101","19.99","USD","https://example.com/image101.jpg","Comfortable cotton T-shirt.","https://example.com/image101_additional.jpg","Apparel & Accessories > Clothing > Shirts & Tops","2024-12-01","Clothing","TS101","SKU","New","Adult","Blue","Unisex","Solid","M","Regular","US","4.5","No"
"en","102","Running Shoes","https://example.com/product102","79.99","USD","https://example.com/image102.jpg","Lightweight running shoes for all terrains.","https://example.com/image102_additional.jpg","Apparel & Accessories > Shoes","2024-12-05","Footwear","RS102","UPC","New","Adult","Black","Unisex","Solid","10","Regular","US","4.8","No"
"en","103","Bluetooth Headphones","https://example.com/product103","59.99","USD","https://example.com/image103.jpg","Wireless headphones with noise cancellation.","https://example.com/image103_additional.jpg","Electronics > Audio > Headphones","2024-12-03","Electronics","BH103","EAN","New","Adult","Black","Unisex","Solid","One Size","Standard","US","4.7","No"
"en","104","Smartwatch Series 5","https://example.com/product104","199.99","USD","https://example.com/image104.jpg","Fitness tracking and notifications on the go.","https://example.com/image104_additional.jpg","Electronics > Wearable Technology > Smartwatches","2024-12-07","Wearable","SW104","UPC","New","Adult","Silver","Unisex","Solid","One Size","Standard","US","4.9","No"
"en","105","Leather Wallet","https://example.com/product105","39.99","USD","https://example.com/image105.jpg","Premium leather wallet with multiple compartments.","https://example.com/image105_additional.jpg","Apparel & Accessories > Wallets & Accessories","2024-12-04","Accessories","LW105","SKU","New","Adult","Brown","Male","Solid","One Size","Standard","US","4.3","No"
"en","106","Gaming Laptop","https://example.com/product106","1299.99","USD","https://example.com/image106.jpg","High-performance laptop for gaming and work.","https://example.com/image106_additional.jpg","Electronics > Computers & Tablets > Laptops","2024-12-06","Electronics","GL106","UPC","New","Adult","Black","Unisex","Solid","15 inch","Standard","US","4.6","No"
"en","107","Office Chair","https://example.com/product107","159.99","USD","https://example.com/image107.jpg","Ergonomic office chair for maximum comfort.","https://example.com/image107_additional.jpg","Furniture > Office Furniture > Chairs","2024-12-08","Furniture","OC107","EAN","New","Adult","Gray","Unisex","Solid","Standard","Standard","US","4.4","No"
"en","108","Stainless Steel Watch","https://example.com/product108","129.99","USD","https://example.com/image108.jpg","Elegant watch with a stainless steel band.","https://example.com/image108_additional.jpg","Jewelry & Watches > Watches","2024-12-02","Accessories","SW108","SKU","New","Adult","Silver","Male","Solid","One Size","Standard","US","4.6","No"
"en","109","Wireless Earbuds","https://example.com/product109","49.99","USD","https://example.com/image109.jpg","Compact and lightweight wireless earbuds.","https://example.com/image109_additional.jpg","Electronics > Audio > Earbuds","2024-12-09","Electronics","WE109","UPC","New","Adult","White","Unisex","Solid","One Size","Standard","US","4.5","No"
"en","110","Fitness Tracker Band","https://example.com/product110","89.99","USD","https://example.com/image110.jpg","Track your fitness goals and stay healthy.","https://example.com/image110_additional.jpg","Electronics > Wearable Technology > Fitness Trackers","2024-12-10","Wearable","FT110","EAN","New","Adult","Black","Unisex","Solid","One Size","Standard","US","4.8","No"
"en","111","Leather Backpack","https://example.com/product111","149.99","USD","https://example.com/image111.jpg","Spacious and stylish leather backpack.","https://example.com/image111_additional.jpg","Apparel & Accessories > Bags & Luggage > Backpacks","2024-12-11","Accessories","LB111","SKU","New","Adult","Brown","Unisex","Solid","Large","Standard","US","4.7","No"
"en","112","Portable Speaker","https://example.com/product112","99.99","USD","https://example.com/image112.jpg","Wireless speaker with rich sound quality.","https://example.com/image112_additional.jpg","Electronics > Audio > Speakers","2024-12-12","Electronics","PS112","UPC","New","Adult","Black","Unisex","Solid","One Size","Standard","US","4.6","No"
"en","113","Travel Mug","https://example.com/product113","24.99","USD","https://example.com/image113.jpg","Keep your drinks hot or cold on the go.","https://example.com/image113_additional.jpg","Home & Garden > Kitchen & Dining > Drinkware","2024-12-13","Home & Garden","TM113","EAN","New","Adult","Silver","Unisex","Solid","One Size","Standard","US","4.3","No"
"en","114","Electric Toothbrush","https://example.com/product114","49.99","USD","https://example.com/image114.jpg","Electric toothbrush for optimal dental care.","https://example.com/image114_additional.jpg","Health & Beauty > Personal Care > Oral Care","2024-12-14","Health & Beauty","ET114","SKU","New","Adult","White","Unisex","Solid","One Size","Standard","US","4.7","No"
"en","115","Laptop Stand","https://example.com/product115","39.99","USD","https://example.com/image115.jpg","Adjustable laptop stand for better ergonomics.","https://example.com/image115_additional.jpg","Electronics > Computers & Tablets > Accessories","2024-12-15","Electronics","LS115","UPC","New","Adult","Silver","Unisex","Solid","One Size","Standard","US","4.6","No"
